id,name,slug,brand_id,brand_name,brand_slug,category_id,category_name,category_slug,description,material_summary,coating_summary,verification_tier,price_min,price_max,amazon_asin,amazon_affiliate_link,cj_product_id,cj_affiliate_link,awin_product_id,awin_affiliate_link,brand_direct_link,image_url,induction_compatible,oven_safe_temp_f,dishwasher_safe
caraway-fry-pan-10,Caraway 10.5" Fry Pan,caraway-fry-pan-10,caraway,Caraway,caraway,cookware-fry-pans,Fry Pans,fry-pans,"Ceramic-coated aluminum fry pan with stainless steel handle. PTFE and PFOA free.",Aluminum body with stainless steel base,Ceramic non-stick coating,3,95,95,B08L3RPVFZ,https://www.amazon.com/dp/B08L3RPVFZ?tag=YOUR_AMAZON_TAG,,,,,,https://www.carawayhome.com/products/fry-pan,/images/products/caraway-fry-pan.jpg,true,550,true
caraway-cookware-set,Caraway Cookware Set (12-Piece),caraway-cookware-set,caraway,Caraway,caraway,cookware-sets,Cookware Sets,cookware-sets,"Complete ceramic-coated cookware set including fry pan, saucepan, sauté pan, and Dutch oven.",Aluminum body with stainless steel base,Ceramic non-stick coating,3,395,545,B08L3N8WTR,https://www.amazon.com/dp/B08L3N8WTR?tag=YOUR_AMAZON_TAG,,,,,,https://www.carawayhome.com/products/cookware-set,/images/products/caraway-set.jpg,true,550,true
greenpan-valencia-pro,GreenPan Valencia Pro 11-Piece Set,greenpan-valencia-pro,greenpan,GreenPan,greenpan,cookware-sets,Cookware Sets,cookware-sets,"Hard anodized aluminum with Magneto induction base. Thermolon Minerals Pro ceramic coating.",Hard anodized aluminum,Thermolon Minerals Pro ceramic,3,299,399,B07BKJZ6KS,https://www.amazon.com/dp/B07BKJZ6KS?tag=YOUR_AMAZON_TAG,,,,,,https://www.greenpan.com/collections/valencia-pro,/images/products/greenpan-valencia.jpg,true,600,true
lodge-cast-iron-skillet,Lodge 10.25" Cast Iron Skillet,lodge-cast-iron-skillet,lodge,Lodge,lodge,cookware-fry-pans,Fry Pans,fry-pans,"Pre-seasoned cast iron skillet. Inherently PFAS-free - no synthetic coatings.",Cast iron,Pre-seasoned (natural oil),4,22,30,B00006JSUA,https://www.amazon.com/dp/B00006JSUA?tag=YOUR_AMAZON_TAG,,,,,,https://www.lodgecastiron.com/product/cast-iron-skillet,/images/products/lodge-skillet.jpg,false,unlimited,false
made-in-stainless-frying-pan,Made In 10" Stainless Steel Frying Pan,made-in-frying-pan,madein,Made In,made-in,cookware-fry-pans,Fry Pans,fry-pans,"5-ply stainless steel construction. No coatings - inherently PFAS-free.",5-ply stainless steel with aluminum core,None - uncoated stainless,4,99,129,B07YVL6TRT,https://www.amazon.com/dp/B07YVL6TRT?tag=YOUR_AMAZON_TAG,,,,,,https://madeincookware.com/products/stainless-steel-frying-pan,/images/products/made-in-pan.jpg,true,800,true
xtrema-ceramic-skillet,Xtrema 10" Pure Ceramic Skillet,xtrema-skillet,xtrema,Xtrema Ceramics,xtrema,cookware-fry-pans,Fry Pans,fry-pans,"100% ceramic construction with no metals or coatings. Certified PFAS-free with lab testing.",100% pure ceramic,None - solid ceramic,4,159,179,B01LZQMBPJ,https://www.amazon.com/dp/B01LZQMBPJ?tag=YOUR_AMAZON_TAG,,,,,,https://xtrema.com/products/10-inch-ceramic-skillet,/images/products/xtrema-skillet.jpg,false,2500,true
our-place-always-pan,Our Place Always Pan 2.0,our-place-always-pan,ourplace,Our Place,our-place,cookware-fry-pans,Fry Pans,fry-pans,"Multi-functional ceramic-coated pan. Replaces 8 pieces of cookware. PTFE and PFOA free.",Aluminum body,Ceramic non-stick coating,3,150,150,B0BVMHP2JB,https://www.amazon.com/dp/B0BVMHP2JB?tag=YOUR_AMAZON_TAG,,,,,,https://fromourplace.com/products/always-essential-cooking-pan,/images/products/always-pan.jpg,true,450,true
all-clad-d3-fry-pan,All-Clad D3 Stainless 10" Fry Pan,all-clad-d3-fry-pan,allclad,All-Clad,all-clad,cookware-fry-pans,Fry Pans,fry-pans,"3-ply bonded stainless steel. No coatings - inherently PFAS-free. Made in USA.",3-ply stainless steel with aluminum core,None - uncoated stainless,4,130,150,B00005AL4S,https://www.amazon.com/dp/B00005AL4S?tag=YOUR_AMAZON_TAG,,,,,,https://www.all-clad.com/d3-stainless-10-fry-pan.html,/images/products/all-clad-d3.jpg,true,600,true
le-creuset-dutch-oven,Le Creuset 5.5 Qt Dutch Oven,le-creuset-dutch-oven,lecreuset,Le Creuset,le-creuset,cookware-dutch-ovens,Dutch Ovens,dutch-ovens,"Enameled cast iron Dutch oven. Inherently PFAS-free with premium enamel coating.",Cast iron,Enamel coating,4,390,430,B00005QFQ8,https://www.amazon.com/dp/B00005QFQ8?tag=YOUR_AMAZON_TAG,,,,,,https://www.lecreuset.com/round-dutch-oven,/images/products/le-creuset-dutch.jpg,true,500,true
staub-cocotte,Staub 5.5 Qt Round Cocotte,staub-cocotte,staub,Staub,staub,cookware-dutch-ovens,Dutch Ovens,dutch-ovens,"Enameled cast iron cocotte with self-basting lid. Made in France. PFAS-free.",Cast iron,Black matte enamel interior,4,380,430,B00CYKU6K8,https://www.amazon.com/dp/B00CYKU6K8?tag=YOUR_AMAZON_TAG,,,,,,https://www.zwilling.com/us/staub,/images/products/staub-cocotte.jpg,true,500,true
